Id	CAS	SMILES	Status	Experimental value	Predicted value
1	100-00-5	O=[N+]([O-])c1ccc(cc1)Cl	Training	Mutagen	Mutagen
2	100-01-6	O=[N+]([O-])c1ccc(N)cc1	Training	Mutagen	Mutagen
3	100-02-7	O=[N+]([O-])c1ccc(O)cc1	Training	NON-Mutagen	Mutagen
4	100-11-8	O=[N+]([O-])c1ccc(cc1)CBr	Training	Mutagen	NON-Mutagen
5	100-12-9	O=[N+]([O-])c1ccc(cc1)CC	Training	NON-Mutagen	NON-Mutagen
6	100129-07-5	O=C(N(C)Cc1ccccc1)C(C)Br	Training	NON-Mutagen	NON-Mutagen
7	100-13-0	O=[N+]([O-])c1ccc(C=C)cc1	Training	Mutagen	NON-Mutagen
8	100-14-1	O=[N+]([O-])c1ccc(cc1)CCl	Training	Mutagen	Mutagen
9	100-15-2	O=[N+]([O-])c1ccc(cc1)NC	Training	Mutagen	Mutagen
10	100-16-3	O=[N+]([O-])c1ccc(cc1)NN	Training	Mutagen	Mutagen
11	100-17-4	O=[N+]([O-])c1ccc(OC)cc1	Training	Mutagen	Mutagen
12	100-19-6	O=C(c1ccc(cc1)[N+](=O)[O-])C	Training	Mutagen	Mutagen
13	100-20-9	O=C(c1ccc(cc1)C(=O)Cl)Cl	Training	Mutagen	Mutagen
14	100-21-0	O=C(O)c1ccc(cc1)C(=O)O	Training	NON-Mutagen	NON-Mutagen
15	100-22-1	c1cc(ccc1N(C)C)N(C)C	Training	Mutagen	Mutagen
16	100-25-4	O=[N+]([O-])c1ccc(cc1)[N+](=O)[O-]	Training	Mutagen	Mutagen
17	10026-04-7	Cl[Si](Cl)(Cl)Cl	Training	NON-Mutagen	Mutagen
18	100-27-6	O=[N+]([O-])c1ccc(cc1)CCO	Training	Mutagen	Mutagen
19	100288-36-6	O=CC1=CC(C)C2CC(C)(C)CC2(C(O)C1(C=O))	Training	NON-Mutagen	Mutagen
20	100-29-8	O=[N+]([O-])c1ccc(OCC)cc1	Training	Mutagen	Mutagen
21	100-32-3	O=[N+]([O-])c1ccc(cc1)SSc2ccc(cc2)[N+](=O)[O-]	Training	Mutagen	Mutagen
22	100325-51-7	O=C(O)C1=CN(c2c(F)c(c(F)cc2(C1(=O)))c3ccncc3)CC	Training	NON-Mutagen	Mutagen
23	100-37-8	OCCN(CC)CC	Training	NON-Mutagen	NON-Mutagen
24	100-39-0	c1ccc(cc1)CBr	Training	Mutagen	NON-Mutagen
25	100-41-4	c1ccc(cc1)CC	Training	NON-Mutagen	NON-Mutagen
26	100-43-6	n1ccc(C=C)cc1	Training	NON-Mutagen	NON-Mutagen
27	100-44-7	c1ccc(cc1)CCl	Training	Mutagen	NON-Mutagen
28	100-47-0	N#Cc1ccccc1	Training	NON-Mutagen	NON-Mutagen
29	100490-36-6	O=C(O)C1=CN(c2nc(c(F)cc2(C1(=O)))N3CCC(N)C3)c4ccc(F)cc4(F)	Training	Mutagen	Mutagen
30	100-51-6	OCc1ccccc1	Training	NON-Mutagen	NON-Mutagen
31	100527-20-6	O=[N+]([O-])c2ccc3ccc1ccc(cc1c3(c2))[N+](=O)[O-]	Training	Mutagen	Mutagen
32	100-53-8	c1ccc(cc1)CS	Training	NON-Mutagen	NON-Mutagen
33	100593-23-5	O=Nc1ccc2ccc3ccc(c4ccc1c2c34)[N+](=O)[O-]	Training	Mutagen	Mutagen
34	10061-01-5	C(=CCl)CCl	Training	Mutagen	Mutagen
35	100-61-8	c1ccc(cc1)NC	Training	NON-Mutagen	NON-Mutagen
36	100-63-0	NNc1ccccc1	Training	Mutagen	Mutagen
37	100-64-1	ON=C1CCCCC1	Training	Mutagen	NON-Mutagen
38	100-65-2	ONc1ccccc1	Training	Mutagen	Mutagen
39	100690-33-3	O=Nc1ccc(OCCCCC)cc1	Training	Mutagen	Mutagen
40	1007-28-9	n1c(nc(nc1NCC)Cl)N	Training	NON-Mutagen	NON-Mutagen
41	1007-36-9	O=C(Nc1ccccc1)NC	Training	NON-Mutagen	NON-Mutagen
42	100-74-3	O1CCN(CC)CC1	Training	Mutagen	NON-Mutagen
43	100-75-4	O=NN1CCCCC1	Training	Mutagen	Mutagen
44	100757-60-6	c1ccc2c(c1)cc3ccc4ccc(c5ccc2c3c45)CCl	Training	NON-Mutagen	Mutagen
45	100772-18-7	O=C(O)CCC(C)C2CCC3C4CCc1cc(O)ccc1C4(CCC23(C))	Training	NON-Mutagen	NON-Mutagen
46	100850-37-1	O=C(NN)CN(c1ccc2ccccc2(c1))C	Training	NON-Mutagen	Mutagen
47	10087-89-5	O=C(OC(C#C)(c1ccccc1)c2ccccc2)NC3CCCCC3	Training	Mutagen	NON-Mutagen
48	10088-95-6	O=C1OC(C=CC)=CC=2OC(C)C(O)C(=O)C1=2	Training	NON-Mutagen	Mutagen
49	100924-64-9	O=S(=O)(O)OCc4cc1ccccc1c3ccc2ccccc2c34	Training	Mutagen	Mutagen
50	10094-45-8	O=C(NCCCCCCCCCCCCCCCCCC)CCCCCCCCCCCC=CCCCCCCCC	Training	NON-Mutagen	NON-Mutagen
51	100-97-0	N12(CN3CN(C1)CN(C2)C3)	Training	Mutagen	Mutagen
52	101-02-0	O(c1ccccc1)P(Oc2ccccc2)Oc3ccccc3	Training	NON-Mutagen	NON-Mutagen
53	101021-43-6	c1ccc5c(c1)ccc4[nH]c3ccc2cc(ccc2c3c45)C	Training	Mutagen	Mutagen
54	101043-65-6	O=Nc1ccc2ccc4c(ccc3ccc1c2c34)[N+](=O)[O-]	Training	Mutagen	Mutagen
55	1010-93-1	O=C(O)Cn1c(ncc1[N+](=O)[O-])C	Training	Mutagen	Mutagen
56	101126-65-2	O=[N+]([O-])c2c(c1Oc3ccc(c(c3(Oc1c(c2Cl)Cl))Cl)Cl)Cl	Training	Mutagen	NON-Mutagen
57	101126-67-4	O=[N+]([O-])c2c(cc1Oc3cc(c(cc3(Oc1c2Cl))Cl)Cl)Cl	Training	NON-Mutagen	Mutagen
58	101-14-4	Nc1ccc(cc1Cl)Cc2ccc(N)c(c2)Cl	Training	Mutagen	NON-Mutagen
59	101-18-8	Oc1cccc(c1)Nc2ccccc2	Training	NON-Mutagen	NON-Mutagen
60	101-20-2	O=C(Nc1ccc(cc1)Cl)Nc2ccc(c(c2)Cl)Cl	Training	NON-Mutagen	NON-Mutagen
61	101-25-7	O=NN1CN2CN(N=O)CN(C1)C2	Training	Mutagen	Mutagen
62	10125-76-5	O=Nc1ccc(cc1)c2ccccc2	Training	Mutagen	Mutagen
63	101-26-8	O=C(Oc1ccc[n+](c1)C)N(C)C	Training	NON-Mutagen	NON-Mutagen
64	101328-75-0	c2cc1c3c(cn1CCCCC)CC4N(C)CC(=CC4(c3(c2)))C	Training	Mutagen	Mutagen
65	101328-96-5	O=C1C=CC(=O)C1(Cl)Cl	Training	Mutagen	NON-Mutagen
66	101-39-3	O=CC(=Cc1ccccc1)C	Training	NON-Mutagen	NON-Mutagen
67	10147-37-2	O=S(=O)(C(C)C)Cl	Training	Mutagen	Mutagen
68	101489-25-2	O=C1c5c(O)ccc(OC)c5(Oc3c1c(OC)cc2OC4OCCC4(c23))	Training	NON-Mutagen	NON-Mutagen
69	101489-26-3	O=C1c5c(O)cccc5(Oc2cc3OC4OCCC4(c3(c(O)c12)))	Training	NON-Mutagen	NON-Mutagen
70	101-54-2	Nc1ccc(cc1)Nc2ccccc2	Training	NON-Mutagen	NON-Mutagen
71	10159-46-3	O=P(NC)(N(C)C)N(C)C	Training	Mutagen	NON-Mutagen
72	10159-53-2	O=P(O)(N)N(CCCl)CCCl	Training	Mutagen	Mutagen
73	101-59-7	O=[N+]([O-])c1ccc(cc1)Sc2ccc(N)cc2	Training	Mutagen	Mutagen
74	101-61-1	c1cc(ccc1N(C)C)Cc2ccc(cc2)N(C)C	Training	Mutagen	Mutagen
75	10161-33-8	O=C4C=C2C(=C1C=CC3(C)(C(O)CCC3(C1CC2)))CC4	Training	NON-Mutagen	NON-Mutagen
76	101-67-7	c1cc(ccc1Nc2ccc(cc2)CCCCCCCC)CCCCCCCC	Training	NON-Mutagen	NON-Mutagen
77	101688-02-2	O=[N+]([O-])c2oc3ccc1cc(ccc1c3(c2))N(CCCl)CCCl	Training	Mutagen	Mutagen
78	101-70-2	O(c1ccc(cc1)Nc2ccc(OC)cc2)C	Training	NON-Mutagen	NON-Mutagen
79	101-72-4	c1ccc(cc1)Nc2ccc(cc2)NC(C)C	Training	NON-Mutagen	Mutagen
80	101-73-5	O(c1ccc(cc1)Nc2ccccc2)C(C)C	Training	NON-Mutagen	NON-Mutagen
81	101-77-9	Nc1ccc(cc1)Cc2ccc(N)cc2	Training	Mutagen	Mutagen
82	101-80-4	O(c1ccc(N)cc1)c2ccc(N)cc2	Training	Mutagen	Mutagen
83	101821-43-6	N=C(N)c1ccc2c(N)c([nH]c2(c1))C(=N)N	Training	NON-Mutagen	NON-Mutagen
84	101821-44-7	N=C(N)c1cc2ccc(cc2([nH]1))Br	Training	NON-Mutagen	NON-Mutagen
85	101-83-7	N(C1CCCCC1)C2CCCCC2	Training	NON-Mutagen	NON-Mutagen
86	101-84-8	O(c1ccccc1)c2ccccc2	Training	NON-Mutagen	Mutagen
87	101901-08-0	O=C(O)CC2(OCCc1c3cccc(c3([nH]c12))C(O)C)CC	Training	NON-Mutagen	NON-Mutagen
88	101910-34-3	O=C(O)C2N(C(=O)CCS(=O)C)C(c1ccccc1(O))SC2	Training	NON-Mutagen	NON-Mutagen
89	102000-59-9	O=C(O)c1c(N)cccc1(N)	Training	Mutagen	NON-Mutagen
90	102-01-2	O=C(Nc1ccccc1)CC(=O)C	Training	NON-Mutagen	NON-Mutagen
91	102029-81-2	O=C(O)C(N)C	Training	NON-Mutagen	NON-Mutagen
92	102059-18-7	O=C(C=Cc1ccc(cc1)NC(=O)C)c2ccccc2	Training	Mutagen	NON-Mutagen
93	102-06-7	N=C(Nc1ccccc1)Nc2ccccc2	Training	Mutagen	NON-Mutagen
94	102-07-8	O=C(Nc1ccccc1)Nc2ccccc2	Training	NON-Mutagen	NON-Mutagen
95	102-08-9	c1ccc(cc1)NC(Nc2ccccc2)=S	Training	NON-Mutagen	Mutagen
96	102-13-6	O=C(OCC(C)C)Cc1ccccc1	Training	NON-Mutagen	NON-Mutagen
97	102-16-9	O=C(OCc1ccccc1)Cc2ccccc2	Training	NON-Mutagen	Mutagen
98	102234-07-1	O=C1NC3(C(=O)N1CCN2CC2)(CCCCC3)	Training	Mutagen	Mutagen
99	10227-50-6	O=C1NCCN1c2nccs2	Training	Mutagen	Mutagen
100	10228-40-7	O=C1c3cc(O)c(O)c(O)c3(C(=O)c2c(O)cc(cc12)C)	Training	NON-Mutagen	Mutagen
101	102-32-9	O=C(O)Cc1ccc(O)c(O)c1	Training	Mutagen	Mutagen
